"11","Wi-Fi","64","스페이스 그레이|",NA,NA,"0","0","850000원","아이패드 프로 11형 3세대 64GB Wi-Fi 스페이스그레이 판매","https://cafe.naver.com/joonggonara/594094015"
"12.9","WiFi","512","스페이스 그레이|",NA,"미개봉","0","0","1400000원",":: 급처합니다 :: 아이패드 프로 3세대(A1895) 12.9인치 512GB 스페이스그레이 미개봉 신품 WiFi+Cellular 팝니다.","https://cafe.naver.com/joonggonara/594093734"
"11","wifi","64",NA,NA,NA,"0","0","900000원","아이패드 프로 3세대 11인치(64G) 와이파이형 팔아요","https://cafe.naver.com/joonggonara/594093566"
"11","wifi","64",NA,NA,NA,"0","0","3333원","아이패드프로3세대 11인치 64G 와이파이","https://cafe.naver.com/joonggonara/594093427"
"12.9","cellular","512",NA,NA,NA,"0","0","1550000원","카메라무음 언락 아이패드프로3(12.9) 512g 셀룰러 팝니다.!","https://cafe.naver.com/joonggonara/594091790"
"11","cellular","256",NA,NA,NA,"0","0","1050000원","아이패드 3세대 프로11 256GB 셀룰러 스페이스 그레이 팝니다","https://cafe.naver.com/joonggonara/594091774"
"11","wifi","256","스페이스 그레이|",NA,"미개봉","0","0","960000원","아이패드 프로 3세대 11인치 256 스그 와이파이 미개봉 팝니다.","https://cafe.naver.com/joonggonara/594086396"
"12.9",NA,NA,NA,NA,NA,"0","0","1200000원","아이패드 프로 3세대 12.9","https://cafe.naver.com/joonggonara/594085960"
"12.9","cellular","256",NA,NA,"미개봉","0","0","1450000원","[미개봉]애플스토어구매 아이패드프로3 12.9 256g 셀룰러","https://cafe.naver.com/joonggonara/594082684"
"12.9","wifi","256",NA,NA,NA,"0","0","11700원","아이패드 프로 3세대 12.9 256g 그래이 wifi S급 팔아요","https://cafe.naver.com/joonggonara/594080815"
"11","WI-FI","64","스페이스 그레이|",NA,"미개봉","0","0","2000원","[미개봉] 아이패드 프로 3세대 (11인치형) 64GB WI-FI 스페이스그레이 판매합니다","https://cafe.naver.com/joonggonara/594079699"
"11",NA,"256",NA,NA,"풀박스","0","0","1120000원","[모바일#]아이패드프로 3세대 256G(A1934) / 11인치 / 풀박스","https://cafe.naver.com/joonggonara/594073478"
"11",NA,"256",NA,NA,"풀박스","0","0","1120000원","[모바일#]아이패드프로 3세대 256G(A1934) / 11인치 / 풀박스","https://cafe.naver.com/joonggonara/594073280"
"11","wifi","64","스페이스 그레이|",NA,"미개봉","0","0","810000원","[미개봉] 아이패드프로3세대 11인치 64g wifi 스페이스그레이(3대) 팝니다(81만원)","https://cafe.naver.com/joonggonara/594066760"
"11","wifi","256","실버|",NA,NA,"0","0","1000000원","MTXRKH/A 아이패드프로 3세대 11형 wifi 256GB 실버 팝니다","https://cafe.naver.com/joonggonara/594063724"
"11","wifi","64","스페이스 그레이|",NA,"미개봉","0","0","810000원","[미개봉] 아이패드프로3세대 11인치 64g wifi 스페이스그레이(3대) 팝니다(81만원)","https://cafe.naver.com/joonggonara/594063267"
"12.9","cellular","64","스페이스 그레이|",NA,NA,"0","0","1100000원","아이패드프로3세대 12.9 스그 셀룰러 64g판매합니다","https://cafe.naver.com/joonggonara/594062322"
"12.9","Wi-Fi","256",NA,NA,NA,"0","0","1300000원","아이패드 프로 3세대 12.9형 iPad Pro Wi-Fi 256GB - 스페이스 그레이","https://cafe.naver.com/joonggonara/594060492"
"11","WIFI","64","스페이스 그레이|",NA,"미개봉","0","0","8500원","미개봉 애플코리아 아이패드프로 3세대 11형 64GB WIFI 스페이스그레이 판매합니다","https://cafe.naver.com/joonggonara/594059439"
"11","wifi","64","스페이스 그레이|",NA,"미개봉","0","0","810000원","[미개봉] 아이패드프로3세대 11인치 64g wifi 스페이스그레이(3대) 팝니다(81만원)","https://cafe.naver.com/joonggonara/594058770"
